station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,feel
BGM,2024-01-01 00:04:00,-1.018596955007172,-0.914497169363802,0.07621569051284413,-1.8783960190831608,-1.7124679189504184,-0.23511008882296208,-0.15766122146339623,-0.007441922249783469,0.5815887291394669,-0.6960798261560678
BGM,2024-01-01 00:53:00,-1.078390983483299,-0.8549195328893041,0.45824510273824426,-1.2281880284655213,-0.942111812426828,-0.23511008882296208,-0.15766122146339623,-0.007441922249783469,0.5815887291394669,-0.9093235378790079
BGM,2024-01-01 01:53:00,-1.078390983483299,-0.8549195328893041,0.45824510273824426,-1.8783960190831608,-1.7124679189504184,-0.23511008882296208,-0.20086272037009806,-0.033030953398935296,0.5815887291394669,-0.745556325395729
BGM,2024-01-01 02:53:00,-1.078390983483299,-0.8549195328893041,0.45824510273824426,-1.8783960190831608,-1.7124679189504184,-0.1514286740828391,-0.15766122146339623,-0.007441922249783469,-1.83705694421325,-0.745556325395729
BGM,2024-01-01 03:09:00,-1.078390983483299,-0.8549195328893041,0.45824510273824426,-1.8783960190831608,-1.7124679189504184,-0.06774725934271612,-0.15766122146339623,-0.007441922249783469,-1.2323955258750707,-0.745556325395729
BGM,2024-01-01 03:53:00,-1.138185011959426,-0.8549195328893041,0.6596160278570545,-1.8783960190831608,-1.7124679189504184,0.015934155397406845,-0.15766122146339623,-0.007441922249783469,-1.2323955258750707,-0.7950328246353904
BGM,2024-01-01 04:28:00,-1.138185011959426,-0.8549195328893041,0.6596160278570545,-1.8783960190831608,-1.7124679189504184,0.015934155397406845,-0.15766122146339623,-0.01064055114342381,-1.2323955258750707,-0.7950328246353904
BGM,2024-01-01 04:43:00,-1.138185011959426,-0.8549195328893041,0.6596160278570545,-1.8783960190831608,-1.7124679189504184,0.015934155397406845,-0.20086272037009806,-0.013839180037064153,-1.2323955258750707,-0.7950328246353904
BGM,2024-01-01 04:50:00,-1.1860202347403277,-0.831088478299505,0.9150694300077739,-1.8783960190831608,-1.7124679189504184,0.015934155397406845,-0.20086272037009806,-0.01703780893071904,-1.6858915896287052,-0.8346140240271195
BGM,2024-01-01 04:53:00,-1.138185011959426,-0.7953418964148062,0.8730692084829932,-1.8783960190831608,-1.7124679189504184,0.015934155397406845,-0.20086272037009806,-0.020236437824359382,-1.6858915896287052,-0.7950328246353904
BGM,2024-01-01 05:00:00,-1.138185011959426,-0.7953418964148062,0.8730692084829932,-1.8783960190831608,-1.7124679189504184,-0.019929308062645854,-0.20086272037009806,-0.024501276349213175,-1.6858915896287052,-0.7950328246353904
